"SNUM","DOMSOI","ID","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Long","Lat","GroupCat","species","TEST_LOCALE"
4994,"Rc",38,192,156,44,7108,348,0,348,240,115,277,95,331,60,8,58,143,30,116,33,-102.445,30.0302778,"collis","collis",NA
4992,"Rc",39,154,155,49,5930,305,-11,316,217,88,226,74,427,75,8,72,222,32,203,38,-103.535607,30.030036,"collis","collis",NA
4992,"Rc",40,163,164,49,6173,321,-10,331,229,95,239,81,387,68,7,72,201,29,185,35,-103.66056,29.9824554,"collis","collis",NA
4772,"Kh",41,198,143,42,7031,354,14,340,249,111,283,102,472,80,13,49,184,50,142,54,-100.964996,29.955,"collis","collis",NA
4772,"Kh",42,198,143,42,7031,354,14,340,249,111,283,102,472,80,13,49,184,50,142,54,-100.966621,29.953497,"collis","collis",NA
4772,"Kh",43,196,142,42,6951,350,13,337,246,110,279,101,484,79,14,48,186,52,148,56,-100.934998,29.943333,"collis","collis",NA
4772,"Kh",44,196,142,42,6951,350,13,337,246,110,279,101,484,79,14,48,186,52,148,56,-100.934998,29.943333,"collis","collis",NA
4772,"Kh",45,198,143,42,7031,354,14,340,249,111,283,102,472,80,13,49,184,50,142,54,-100.974999,29.931667,"collis","collis",NA
4772,"Kh",46,196,142,42,6951,350,13,337,246,110,279,101,484,79,14,48,186,52,148,56,-100.940002,29.926666,"collis","collis",NA
4772,"Kh",47,198,143,42,7031,354,14,340,249,111,283,102,472,80,13,49,184,50,142,54,-100.988335,29.926666,"collis","collis",NA
4992,"Rc",48,173,171,49,6479,338,-8,346,242,103,253,87,358,63,7,72,183,27,168,32,-103.716349,29.926162,"collis","collis",NA
4772,"Kh",49,197,143,42,7017,352,13,339,247,110,281,101,467,80,13,50,185,49,142,53,-101.0080032,29.9239998,"collis","collis",NA
4992,"Rc",50,171,169,49,6395,333,-8,341,239,101,249,85,370,65,7,72,189,28,174,33,-103.6633,29.91985,"collis","collis",NA
4772,"Kh",51,199,142,41,7033,355,16,339,250,113,284,103,466,80,13,50,182,49,139,53,-100.975529,29.914537,"collis","collis",NA
4992,"Rc",52,177,171,49,6542,341,-6,347,246,106,256,89,358,63,7,71,181,27,165,32,-103.646969,29.903469,"collis","collis",NA
4992,"Rc",53,177,171,49,6542,341,-6,347,246,106,256,89,358,63,7,71,181,27,165,32,-103.646969,29.903469,"collis","collis",NA
4772,"Kh",54,199,142,41,7033,355,16,339,250,113,284,103,466,80,13,50,182,49,139,53,-100.985001,29.896668,"collis","collis",NA
4772,"Kh",55,200,142,41,7035,355,16,339,250,113,284,104,458,80,12,50,182,47,137,52,-101.000012,29.895657,"collis","collis",NA
4772,"Kh",56,200,142,41,7035,355,16,339,250,113,284,104,458,80,12,50,182,47,137,52,-101.000012,29.895657,"collis","collis",NA
4772,"Kh",57,200,142,41,7035,355,16,339,250,113,284,104,458,80,12,50,182,47,137,52,-101.000012,29.895657,"collis","collis",NA
4992,"Rc",58,172,168,48,6580,339,-9,348,242,99,252,84,326,64,5,82,188,21,169,25,-104.34035,29.869463,"collis","collis",NA
4992,"Rc",59,197,182,48,7147,375,0,375,273,120,284,102,312,68,5,83,182,20,152,23,-104.548972,29.8477701,"collis","collis",NA
4992,"Rc",60,182,172,48,6678,349,-3,352,254,110,264,93,341,60,7,70,173,27,158,31,-103.742804,29.831424,"collis","collis",NA
4994,"Rc",61,209,153,44,7172,364,17,347,259,132,294,111,311,56,8,58,136,32,107,33,-102.114,29.82623,"collis","collis",NA
4994,"Rc",62,200,140,42,6975,352,19,333,251,114,284,105,426,78,11,53,176,43,129,49,-101.18336,29.813049,"collis","collis",NA
4994,"Rc",63,208,145,42,7209,362,20,342,260,118,294,110,375,66,10,52,163,41,119,45,-101.554147,29.811959,"collis","collis",NA
4994,"Rc",64,208,145,42,7209,362,20,342,260,118,294,110,375,66,10,52,163,41,119,45,-101.5587273,29.8100649,"collis","collis",NA
4994,"Rc",65,208,145,42,7209,362,20,342,260,118,294,110,375,66,10,52,163,41,119,45,-101.550786,29.809877,"collis","collis",NA
4992,"Rc",66,205,162,46,7079,362,11,351,253,129,289,108,297,50,7,59,127,28,114,30,-102.6901,29.7246,"collis","collis",NA
4992,"Rc",67,195,156,46,6714,347,11,336,267,123,275,104,318,54,7,60,135,28,125,31,-102.6557836,29.6938779,"collis","collis",NA
4803,"Kk",68,206,136,41,6957,359,28,331,257,120,290,112,432,84,11,56,172,40,116,48,-100.965528,29.663646,"collis","collis",NA
4992,"Rc",69,190,169,47,6818,356,2,354,261,116,272,98,331,57,7,70,167,25,153,29,-103.6610565,29.6616344,"collis","collis",NA
4992,"Rc",70,190,169,47,6818,356,2,354,261,116,272,98,331,57,7,70,167,25,153,29,-103.6610565,29.6616344,"collis","collis",NA
4992,"Rc",71,200,164,46,6944,360,9,351,274,126,283,106,308,50,7,61,134,27,126,30,-102.9364013,29.6615044,"collis","collis",NA
4992,"Rc",72,200,167,46,7008,363,7,356,274,125,284,105,308,50,7,63,139,27,130,30,-103.0960007,29.6380005,"collis","collis",NA
4992,"Rc",73,202,166,46,7028,364,8,356,276,127,286,106,304,49,7,60,134,27,126,30,-103.0090027,29.6310005,"collis","collis",NA
4992,"Rc",74,196,167,47,6940,359,5,354,270,122,280,102,320,52,8,63,147,28,137,31,-103.1679993,29.6259995,"collis","collis",NA
4992,"Rc",75,198,167,47,6964,361,6,355,272,124,282,104,313,50,8,62,144,27,135,29,-103.197998,29.6210003,"collis","collis",NA
4992,"Rc",76,194,159,46,6699,350,10,340,265,122,274,103,328,53,7,61,146,28,138,32,-102.994087,29.580875,"collis","collis",NA
4992,"Rc",77,203,162,46,6948,362,13,349,277,129,286,109,298,47,7,60,128,27,122,30,-102.9053653,29.57444,"collis","collis",NA
4992,"Rc",78,203,162,46,6948,362,13,349,277,129,286,109,298,47,7,60,128,27,122,30,-102.9053653,29.57444,"collis","collis",NA
4992,"Rc",79,203,162,46,6948,362,13,349,277,129,286,109,298,47,7,60,128,27,122,30,-102.897939,29.56353,"collis","collis",NA
4992,"Rc",80,201,162,46,6879,359,12,347,273,127,283,107,305,49,7,61,133,27,126,30,-102.93861,29.5455266,"collis","collis",NA
4992,"Rc",81,190,154,46,6507,342,11,331,259,120,268,102,341,56,7,62,154,30,145,34,-102.9262322,29.5371868,"collis","collis",NA
4803,"Kk",82,210,134,41,6883,360,34,326,260,124,292,116,389,96,8,71,172,29,94,41,-101.08436,29.529578,"collis","collis",NA
4992,"Rc",83,176,149,46,6208,326,7,319,241,108,251,92,399,68,8,67,195,32,179,37,-103.243,29.526,"collis","collis",NA
4992,"Rc",84,183,151,46,6313,332,10,322,249,114,258,97,367,62,8,64,169,32,157,36,-102.987824,29.516904,"collis","collis",NA
4992,"Rc",85,190,154,46,6507,342,11,331,259,120,268,102,341,56,7,62,154,30,145,34,-102.93861,29.5021564,"collis","collis",NA
4992,"Rc",86,176,145,46,6049,321,10,311,239,110,248,93,398,69,8,65,189,34,173,39,-102.971206,29.487838,"collis","collis",NA
4992,"Rc",87,181,148,46,6225,329,10,319,246,113,255,96,379,64,8,65,178,32,165,36,-103.005374,29.478518,"collis","collis",NA
4992,"Rc",88,182,147,46,6204,329,11,318,247,114,256,97,376,64,8,64,175,32,162,36,-102.949983,29.462257,"collis","collis",NA
